state,age,i_urban,i_citizen,i_noenglish,i_only_english,i_drive_to_work,i_asian,i_black,i_indigenous,i_white,i_female,i_male,i_grad_college,i_grad_highschool,i_married,i_married_mult,personal_income,i_health_insurance,i_internet,time_depart,time_arrive,time_commuting,weights
AL,48,0,1,0,1,1,0,0,0,1,1,0,1,1,1,0,1.67,1,1,437,464,27,7.356493359049457e-8
AL,78,0,1,0,1,1,0,0,0,1,1,0,0,1,0,1,12.27,1,1,407,449,42,7.077866936618847e-8
AL,29,1,1,0,1,1,0,0,0,1,0,1,1,1,0,0,8,1,1,362,384,22,7.094114587765251e-8
AL,49,1,1,0,1,1,0,0,0,1,1,0,0,1,0,1,9.87,1,1,422,484,62,6.992508617617623e-8
AL,44,1,1,0,1,1,0,0,0,1,1,0,1,1,1,1,6,1,1,422,449,27,6.995476596799332e-8
AL,64,0,1,0,1,1,0,0,0,1,0,1,1,1,1,0,9.03,1,1,482,499,17,7.31647346321933e-8
AL,50,0,1,0,1,1,0,0,0,1,0,1,1,1,1,0,15,1,1,482,494,12,7.051177285320578e-8
AL,50,0,1,0,1,1,0,0,0,1,1,0,0,1,1,0,0.8,0,1,785,804,19,7.065992553257177e-8
AL,59,0,1,0,1,1,0,0,0,1,1,0,0,1,0,1,2.2,1,1,432,449,17,7.295013611413408e-8
AL,61,1,1,0,1,1,0,0,0,1,1,0,0,1,1,0,3,1,0,452,459,7,6.977687195883421e-8
AL,41,0,1,0,1,1,0,0,0,1,0,1,1,1,1,1,11.9,1,1,352,359,7,7.279723294781607e-8
AL,37,0,1,0,1,1,0,1,0,0,0,1,1,1,1,1,4.3,1,1,302,349,47,7.098694629700881e-8
AL,25,0,1,0,1,1,0,0,0,1,0,1,0,1,1,0,1.38,1,1,785,789,4,7.313403949397648e-8
AL,30,0,1,0,1,1,0,0,0,1,0,1,1,1,1,0,4.15,1,1,462,479,17,7.107639334937014e-8
AL,61,1,1,0,1,1,0,0,0,1,1,0,1,1,1,0,9.03,1,1,542,569,27,7.07007807268003e-8
AL,55,0,1,0,1,1,0,0,0,1,1,0,0,1,1,1,2.8,1,1,392,419,27,7.048217921456996e-8
AL,43,0,1,0,1,1,0,1,0,0,0,1,0,1,0,0,7.6,1,1,1025,1074,49,7.051177285320578e-8
AL,28,0,1,0,1,1,0,0,0,1,0,1,0,1,1,0,4.2,1,1,302,314,12,7.065992553257177e-8
AL,30,1,1,0,1,1,0,0,0,1,1,0,1,1,1,0,3.25,1,1,437,464,27,7.013310378734034e-8
AL,70,0,1,0,1,1,0,0,0,1,1,0,0,1,1,1,2.729,1,1,512,519,7,7.057099701239095e-8
AL,53,0,1,0,1,1,0,0,0,1,0,1,1,1,1,1,33.3,1,1,392,409,17,7.125562211350995e-8
AL,54,0,1,0,1,1,0,1,0,0,1,0,0,1,0,0,2.8,1,1,225,274,49,7.083811529230146e-8
AL,43,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,2.8,1,1,302,334,32,7.083811529230146e-8
AL,66,0,1,0,1,1,0,0,0,1,1,0,1,1,0,0,4.7,1,1,875,889,14,7.051177285320578e-8
AL,25,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,3,1,1,332,349,17,7.083811529230146e-8
