Week of,Dollars per Gallon (Oil)
03/29/2021,2.863
03/22/2021,2.88
03/15/2021,2.903
03/8/2021,2.884
03/1/2021,2.852
02/22/2021,2.808
02/15/2021,2.744
02/8/2021,2.667
02/1/2021,2.602
01/25/2021,2.569
01/18/2021,2.558
01/11/2021,2.504
01/4/2021,2.458
12/28/2020,2.439
12/21/2020,2.423
12/14/2020,2.339
12/7/2020,2.294
11/30/2020,2.264
11/23/2020,2.202
11/16/2020,2.177
11/9/2020,2.142
11/2/2020,2.131
10/26/2020,2.142
10/19/2020,2.147
10/12/2020,2.136
10/5/2020,2.129
03/30/2020,2.421
03/23/2020,2.447
03/16/2020,2.595
03/9/2020,2.751
03/2/2020,2.821
02/24/2020,2.892
02/17/2020,2.899
02/10/2020,2.909
02/3/2020,2.934
01/27/2020,2.996
01/20/2020,3.075
01/13/2020,3.097
01/6/2020,3.119
12/30/2019,3.077
12/23/2019,3.055
12/16/2019,3.026
12/9/2019,3.013
12/2/2019,3.003
11/25/2019,2.994
11/18/2019,2.985
11/11/2019,2.972
11/4/2019,2.973
10/28/2019,2.969
10/21/2019,2.966
10/14/2019,2.955
10/7/2019,2.951
03/25/2019,3.219
03/18/2019,3.219
03/11/2019,3.229
03/4/2019,3.23
02/25/2019,3.23
02/18/2019,3.225
02/11/2019,3.181
02/4/2019,3.182
01/28/2019,3.171
01/21/2019,3.167
01/14/2019,3.139
01/7/2019,3.092
12/31/2018,3.101
12/24/2018,3.13
12/17/2018,3.187
12/10/2018,3.199
12/3/2018,3.203
11/26/2018,3.274
11/19/2018,3.316
11/12/2018,3.35
11/5/2018,3.356
10/29/2018,3.372
10/22/2018,3.372
10/15/2018,3.364
10/8/2018,3.352
10/1/2018,3.288
03/26/2018,3.095
03/19/2018,3.059
03/12/2018,3.064
03/5/2018,3.078
02/26/2018,3.095
02/19/2018,3.102
02/12/2018,3.133
02/5/2018,3.201
01/29/2018,3.221
01/22/2018,3.212
01/15/2018,3.214
01/8/2018,3.174
01/1/2018,3.083
12/25/2017,2.92
12/18/2017,2.887
12/11/2017,2.88
12/4/2017,2.869
11/27/2017,2.846
11/20/2017,2.823
11/13/2017,2.803
11/6/2017,2.739
10/30/2017,2.696
10/23/2017,2.669
10/16/2017,2.658
10/9/2017,2.65
10/2/2017,2.67
03/27/2017,2.586
03/20/2017,2.6
03/13/2017,2.615
03/6/2017,2.629
02/27/2017,2.648
02/20/2017,2.645
02/13/2017,2.642
02/6/2017,2.642
01/30/2017,2.631
01/23/2017,2.631
01/16/2017,2.636
01/9/2017,2.642
01/2/2017,2.632
12/26/2016,2.587
12/19/2016,2.57
12/12/2016,2.531
12/5/2016,2.491
11/28/2016,2.401
11/21/2016,2.384
11/14/2016,2.378
11/7/2016,2.386
10/31/2016,2.399
10/24/2016,2.394
10/17/2016,2.38
10/10/2016,2.366
10/3/2016,2.301
03/28/2016,2.131
03/21/2016,2.132
03/14/2016,2.122
03/7/2016,2.096
02/29/2016,2.089
02/22/2016,2.094
02/15/2016,2.103
02/8/2016,2.092
02/1/2016,2.082
01/25/2016,2.066
01/18/2016,2.114
01/11/2016,2.164
01/4/2016,2.182
12/28/2015,2.175
12/21/2015,2.21
12/14/2015,2.255
12/7/2015,2.332
11/30/2015,2.361
11/23/2015,2.375
11/16/2015,2.398
11/9/2015,2.429
11/2/2015,2.425
10/26/2015,2.422
