Week of,Dollars per Gallon
03/29/2021,2.295
03/22/2021,2.322
03/15/2021,2.358
03/8/2021,2.415
03/1/2021,2.498
02/22/2021,2.492
02/15/2021,2.295
02/8/2021,2.224
02/1/2021,2.206
01/25/2021,2.197
01/18/2021,2.183
01/11/2021,2.081
01/4/2021,2.012
12/28/2020,1.97
12/21/2020,1.942
12/14/2020,1.9
12/7/2020,1.882
11/30/2020,1.859
11/23/2020,1.855
11/16/2020,1.848
11/9/2020,1.837
11/2/2020,1.821
10/26/2020,1.801
10/19/2020,1.79
10/12/2020,1.777
10/5/2020,1.772
03/30/2020,1.869
03/23/2020,1.902
03/16/2020,1.929
03/9/2020,1.962
03/2/2020,1.968
02/24/2020,1.977
02/17/2020,1.981
02/10/2020,1.986
02/3/2020,1.988
01/27/2020,1.994
01/20/2020,2.004
01/13/2020,2.01
01/6/2020,2.005
12/30/2019,2.011
12/23/2019,2.023
12/16/2019,2.021
12/9/2019,2.023
12/2/2019,2.029
11/25/2019,1.999
11/18/2019,1.97
11/11/2019,1.942
11/4/2019,1.895
10/28/2019,1.845
10/21/2019,1.839
10/14/2019,1.847
10/7/2019,1.84
03/25/2019,2.397
03/18/2019,2.41
03/11/2019,2.414
03/4/2019,2.419
02/25/2019,2.43
02/18/2019,2.429
02/11/2019,2.431
02/4/2019,2.435
01/28/2019,2.428
01/21/2019,2.427
01/14/2019,2.428
01/7/2019,2.432
12/31/2018,2.433
12/24/2018,2.437
12/17/2018,2.439
12/10/2018,2.441
12/3/2018,2.431
11/26/2018,2.423
11/19/2018,2.425
11/12/2018,2.422
11/5/2018,2.419
10/29/2018,2.418
10/22/2018,2.419
10/15/2018,2.402
10/8/2018,2.389
10/1/2018,2.37
03/26/2018,2.48
03/19/2018,2.487
03/12/2018,2.499
03/5/2018,2.531
02/26/2018,2.557
02/19/2018,2.568
02/12/2018,2.576
02/5/2018,2.587
01/29/2018,2.598
01/22/2018,2.607
01/15/2018,2.584
01/8/2018,2.55
01/1/2018,2.52
12/25/2017,2.496
12/18/2017,2.485
12/11/2017,2.482
12/4/2017,2.452
11/27/2017,2.435
11/20/2017,2.419
11/13/2017,2.382
11/6/2017,2.361
10/30/2017,2.344
10/23/2017,2.322
10/16/2017,2.315
10/9/2017,2.305
10/2/2017,2.277
03/27/2017,2.39
03/20/2017,2.405
03/13/2017,2.41
03/6/2017,2.419
02/27/2017,2.417
02/20/2017,2.447
02/13/2017,2.451
02/6/2017,2.453
01/30/2017,2.394
01/23/2017,2.354
01/16/2017,2.326
01/9/2017,2.298
01/2/2017,2.271
12/26/2016,2.213
12/19/2016,2.188
12/12/2016,2.157
12/5/2016,2.118
11/28/2016,2.077
11/21/2016,2.061
11/14/2016,2.045
11/7/2016,2.064
10/31/2016,2.059
10/24/2016,2.069
10/17/2016,2.053
10/10/2016,2.018
10/3/2016,1.984
03/28/2016,2.008
03/21/2016,2.014
03/14/2016,2.022
03/7/2016,2.02
02/29/2016,2.026
02/22/2016,2.028
02/15/2016,2.034
02/8/2016,2.032
