state,age,i_urban,i_drive_to_work,i_physical_disability,socioeconomic_index,poverty_pct,i_female,i_male,i_grad_college,i_grad_highschool,i_married,i_married_mult,personal_income,personal_nonwage_income,i_health_insurance,i_moved_in_last_year,i_moved_out_of_state_in_last_year,lived_abroad_in_last_year,time_depart,time_arrive,time_commuting,education,ability,weights
AL,60,0,1,FALSE,42.69,501,1,0,1,1,1,0,1.9,0,1,0,0,0,965,1144,179,10,6346.323309913696,3.035421229633812e-7
AL,24,0,1,FALSE,24.87,231,0,1,0,1,1,0,3.8,0,1,0,0,0,392,424,32,7,-936.7494232639219,2.966878090667431e-7
AL,37,0,1,FALSE,50.17,264,1,0,1,1,1,0,5.4,0,1,0,0,0,437,444,7,11,921.5789535481044,3.0175468542348583e-7
AL,30,1,1,FALSE,48.65,501,0,1,0,1,0,0,3.5,0,0,0,0,0,362,374,12,6,-4572.037150178749,2.9815459345051283e-7
AL,33,1,1,FALSE,47.3,501,0,1,1,1,1,0,14,0,1,0,0,0,392,404,12,10,4023.540375196375,3.0019293426237586e-7
AL,46,0,1,FALSE,60.08,501,1,0,1,1,1,0,4.4,0,1,0,0,0,412,439,27,11,1662.693774450896,3.016358912981303e-7
AL,66,1,1,FALSE,47.3,501,1,0,1,1,1,0,2.74,0,1,0,0,0,422,469,47,10,4976.622951707148,2.9282324682331964e-7
AL,43,0,1,FALSE,61.07,501,1,0,1,1,1,0,1.41,0,1,0,0,0,412,424,12,10,1309.289844506915,2.954051131698299e-7
AL,57,0,1,FALSE,24.95,300,0,1,0,1,1,1,2.5,0,1,0,0,0,362,484,122,6,-793.6820816563595,3.01992411584174e-7
AL,78,0,1,FALSE,27.84,501,0,1,1,1,1,0,14.1,0,1,0,0,0,905,924,19,10,6431.753396317599,3.009240907962787e-7
AL,41,0,1,FALSE,60.08,501,1,0,1,1,1,0,6.5,0,1,0,0,0,452,464,12,10,-1046.780560359668,2.984457595333231e-7
AL,39,0,1,FALSE,47.88,424,0,1,0,1,0,0,5,0,0,0,0,0,362,399,37,6,-7270.897430777899,2.9715559888983025e-7
AL,54,0,1,FALSE,36.09,501,0,1,0,1,1,1,19,0,1,0,0,0,605,804,199,7,712.2916170858953,3.111636592634786e-7
AL,44,0,1,FALSE,46.67,325,1,0,1,1,0,0,4.3,0,1,0,0,0,482,504,22,10,3784.2817045395605,3.0080561792198365e-7
AL,67,0,1,FALSE,19.56,270,0,1,0,1,0,0,2.48,0,1,0,0,0,905,909,4,6,-76.47848308747598,3.0306445834663303e-7
AL,60,0,1,FALSE,35.78,501,1,0,1,1,1,0,9,0,1,0,0,0,422,444,22,11,9363.43475331492,3.016358912981303e-7
AL,55,0,1,FALSE,53.79,347,1,0,1,1,0,0,4.57,0,1,0,0,0,392,409,17,10,383.6605470603354,3.0127978452870687e-7
AL,57,0,1,FALSE,60.08,501,1,0,1,1,1,0,9,0,1,1,0,0,452,464,12,10,-1057.1868021311175,3.022303217434293e-7
AL,35,0,1,FALSE,41.89,487,0,1,0,1,1,1,3.5,0,1,0,0,0,392,429,37,6,-4381.709031153849,2.961040887875317e-7
AL,47,0,1,FALSE,31.06,501,1,0,0,1,1,0,2.5,0,1,0,0,0,497,509,12,6,-3796.8227950605187,3.0234934586701965e-7
AL,64,1,1,FALSE,18.29,253,0,1,0,1,1,1,2.79,0,1,0,0,0,422,439,17,7,4166.096882297319,2.8955250042122807e-7
AL,43,0,1,FALSE,30.61,151,0,1,0,0,0,0,2,0,0,0,0,0,482,524,42,0,-18273.57049905401,2.9891627169495544e-7
AL,27,1,1,FALSE,47.04,62,1,0,1,1,0,0,0.83,0,0,1,0,0,442,499,57,10,2280.5057907484006,3.4390567279357716e-7
